ARANDELA PLANA PESADA,,,,,,,,,,
 , , E1110, E1112, , E1111, E1113, , DIMENSIONES, , 
CÓD. KG.",Ø "ZINCADO
KG." CIENTO",CANT. X KG. "ZINCADO
CIENTO" 08,CANT. "1/2""",Ø INT. $4.90,Ø EXT. ,ESP. 64, $8.41, , , 14.20, 35.00, 2.50
 10, "5/8""",25 KGS $4.90,25 KGS , 26,0 CTO $20.72,0 CTO , , 17.50, 44.50, 3.60
 12, "3/4""",25 KGS $5.39,25 KGS , 22,0 CTO $26.96,0 CTO , , 20.90, 50.80, 3.40
 14, "7/8""",25 KGS $4.90,25 KGS , 18,0 CTO $29.92,0 CTO , , 24.20, 57.50, 3.50
 16, "1""",25 KGS $4.90,25 KGS , 12,0 CTO $44.89,0 CTO , , 27.00, 63.50, 4.20
 20, "1 1/8""",25 KGS $5.51,25 KGS , 9,0 CTO $67.35,0 CTO , , 32.00, 70.00, 4.00
 22, "1 1/4""",25 KGS $5.51,25 KGS , 8,0 CTO $75.77,0 CTO , , 35.00, 76.40, 4.20
 24, "1 3/8""",25 KGS $5.51,25 KGS , 7,0 CTO $86.60,0 CTO , , 38.50, 82.00, 5.00
 26, "1 1/2""",25 KGS $5.51,25 KGS , 6,0 CTO $101.03,0 CTO , , 41.50, 88.80, 5.00
 28, "1 3/4""",25 KGS $5.51,25 KGS , 4,0 CTO $151.55,0 CTO , , 48.10, 101.50, 4.80
 30, "2""",25 KGS $5.51,25 KGS , 3,0 CTO $202.05,0 CTO , , 54.00, 114.00, 5.00
 PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV), ,25 KGS ,25 KGS , ,0 CTO ,0 CTO , , , , 
