ARANDELA PLANA STANDARD,,,,,,,,,,
 , , E1100, E1200, , E1101, E1203, , DIMENSIONES, , 
CÓD. KG.",Ø "ZINCADO
KG." CIENTO",CANT. X KG. "ZINCADO
CIENTO" 04,CANT. "1/4""",Ø INT. $4.96,Ø EXT. $5.22,ESP. 159, $3.43, $4.54, 160, 6.50, 22.00, 2.50
 05, "5/16""",25 KGS $4.96,25 KGS $5.22, 146,0 CTO $3.73,0 CTO $3.58, 150, 8.40, 23.80, 2.50
 06, "3/8""",25 KGS $4.96,25 KGS $5.22, 125,0 CTO $4.37,0 CTO $4.18, 120, 10.10, 25.70, 2.30
 07, "7/16""",25 KGS $4.96,25 KGS $5.22, 100,0 CTO $5.45,0 CTO $5.22, 95, 11.80, 29.80, 2.30
 08, "1/2""",25 KGS $4.96,25 KGS $5.22, 64,0 CTO $8.52,0 CTO $8.15, 71, 13.20, 35.00, 2.30
 09, "9/16""",25 KGS $4.96,25 KGS $5.22, 59,0 CTO $9.24,0 CTO $8.84, 60, 15.30, 37.80, 2.30
 10, "5/8""",25 KGS $4.96,25 KGS $5.22, 42,0 CTO $12.98,0 CTO $12.41, 42, 17.00, 45.00, 2.50
 12, "3/4""",25 KGS $4.96,25 KGS $5.22, 32,0 CTO $17.04,0 CTO $16.30, 35, 21.00, 50.00, 2.70
 14, "7/8""",25 KGS $4.96,25 KGS $5.22, 21,0 CTO $21.81,0 CTO $20.86, 26, 23.30, 55.50, 2.80
 16, "1""",25 KGS $4.96,25 KGS $5.22, 25,0 CTO $25.96,0 CTO $29.62, 26, 26.60, 59.00, 2.50
 PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV), ,25 KGS ,25 KGS , ,0 CTO ,0 CTO , , , , 
